Date,Close
2025-08-21,240.86941528320312
2025-08-22,239.64535522460938
2025-08-25,244.6572265625
2025-08-26,242.9127197265625
2025-08-28,241.5826416015625
2025-08-29,240.38751220703125
2025-09-01,241.30313110351562
2025-09-02,241.85250854492188
2025-09-03,240.53207397460938
2025-09-04,236.1081085205078
2025-09-05,234.85513305664062
2025-09-08,233.7467498779297
2025-09-09,240.13690185546875
2025-09-10,246.49815368652344
2025-09-11,244.72471618652344
2025-09-12,242.8259735107422
2025-09-15,242.18984985351562
2025-09-16,244.8210906982422
2025-09-17,244.95602416992188
2025-09-18,247.6354522705078
2025-09-19,246.6234588623047
2025-09-22,241.2742156982422
2025-09-23,240.59954833984375
2025-09-24,235.7418670654297
2025-09-25,233.2455596923828
2025-09-26,227.22164916992188
2025-09-29,230.97093200683594
2025-09-30,230.71070861816406
2025-10-01,232.3491973876953
2025-10-03,232.262451171875
2025-10-06,233.37086486816406
2025-10-07,234.72021484375
2025-10-08,235.43344116210938
2025-10-09,237.4863739013672
2025-10-10,239.70318603515625
2025-10-13,236.2623291015625
2025-10-14,239.4333038330078
2025-10-15,241.1585693359375
2025-10-16,244.62832641601562
2025-10-17,232.1853485107422
2025-10-20,232.5130615234375
2025-10-21,232.6287078857422
2025-10-23,235.4623565673828
2025-10-24,234.1901092529297
2025-10-27,235.0864715576172
2025-10-28,233.61181640625
2025-10-29,233.5154266357422
2025-10-30,233.16844177246094
2025-10-31,231.96368408203125
2025-11-03,231.79981994628906
2025-11-04,229.3131561279297
2025-11-06,231.36610412597656
2025-11-07,227.9348907470703
2025-11-10,231.1636962890625
2025-11-11,232.94677734375
2025-11-12,236.3490753173828
2025-11-13,236.45509338378906
2025-11-14,235.52981567382812
2025-11-17,235.22140502929688
2025-11-18,232.1853485107422
2025-11-19,237.16831970214844
2025-11-20,237.35145568847656
2025-11-21,235.64549255371094
2025-11-24,238.32492065429688
2025-11-25,236.75389099121094
2025-11-26,241.13929748535156
2025-11-27,240.53207397460938
2025-11-28,240.50315856933594
2025-12-01,241.2260284423828
2025-12-02,241.1199951171875
2025-12-03,245.4764862060547
2025-12-04,247.6354522705078
2025-12-05,250.50767517089844
2025-12-08,251.9244842529297
2025-12-09,248.09811401367188
2025-12-10,248.64749145507812
2025-12-11,249.8715362548828
2025-12-12,251.1726837158203
2025-12-15,252.27145385742188
2025-12-16,249.84262084960938
2025-12-17,251.6931915283203
2025-12-18,254.3051300048828
2025-12-19,254.88343811035156
2025-12-22,262.8060607910156
2025-12-23,261.5820007324219
2025-12-24,258.3628234863281
2025-12-26,256.6664733886719
2025-12-29,254.68101501464844
2025-12-30,254.11236572265625
2025-12-31,253.75575256347656
2026-01-01,257.67852783203125
2026-01-02,259.268798828125
2026-01-05,253.77499389648438
2026-01-06,255.9918212890625
2026-01-07,261.0036926269531
2026-01-08,252.71481323242188
2026-01-09,252.473876953125
2026-01-12,253.58224487304688
2026-01-13,254.64247131347656
2026-01-14,250.78717041015625
2026-01-15,250.78717041015625
2026-01-16,257.77490234375
2026-01-19,237.0526580810547
2026-01-20,231.2215118408203
2026-01-21,230.88418579101562
2026-01-22,231.9443817138672
2026-01-23,229.77577209472656
2026-01-27,232.148681640625
2026-01-28,234.66989135742188
2026-01-29,237.09222412109375
2026-01-30,234.22496032714844
2026-02-02,239.56399536132812
2026-02-03,239.94960021972656
2026-02-04,230.70516967773438
2026-02-05,230.75460815429688
2026-02-06,228.11476135253906
2026-02-09,227.4819793701172
2026-02-10,228.85629272460938
2026-02-11,227.21502685546875
2026-02-12,216.606201171875
2026-02-13,211.6725311279297
2026-02-16,210.85189819335938
2026-02-17,213.2544708251953
2026-02-18,209.55670166015625
2026-02-19,208.82505798339844
2026-02-20,207.4903106689453
2026-02-23,203.56512451171875
2026-02-24,197.8800506591797
2026-02-25,199.63995361328125
2026-02-26,198.8094482421875
2026-02-27,198.69081115722656
2026-03-02,196.32778930664062
2026-03-04,193.34188842773438
2026-03-05,193.4704132080078
2026-03-06,193.19357299804688
2026-03-09,196.50575256347656
2026-03-10,198.6611328125
2026-03-11,199.9464569091797
2026-03-12,200.22329711914062
2026-03-13,195.34896850585938
2026-03-16,192.9068603515625
2026-03-17,189.15965270996094
2026-03-18,192.1060028076172
2026-03-19,186.2825164794922
2026-03-20,188.744384765625
2026-03-23,185.42233276367188
2026-03-24,186.60879516601562
2026-03-25,186.915283203125
2026-03-27,189.43649291992188
2026-03-30,185.52120971679688
2026-04-01,189.02122497558594
2026-04-02,192.70912170410156
2026-04-06,195.06224060058594
2026-04-07,202.40834045410156
2026-04-08,201.12301635742188
2026-04-09,200.5792236328125
2026-04-10,202.56654357910156
2026-04-13,200.6781005859375
2026-04-15,207.3815460205078
2026-04-16,207.88577270507812
2026-04-17,202.0128631591797
2026-04-20,200.19363403320312
2026-04-21,202.695068359375
2026-04-22,201.69647216796875
2026-04-23,200.47047424316406
2026-04-24,197.10887145996094
2026-04-27,202.734619140625
2026-04-28,199.30380249023438
2026-04-29,198.41395568847656
2026-04-30,198.38429260253906
2026-05-01,198.38429260253906
2026-05-04,198.48316955566406
2026-05-05,197.5241241455078
2026-05-06,196.87156677246094
2026-05-07,195.13145446777344
2026-05-08,195.6752471923828
2026-05-11,194.45912170410156
2026-05-12,187.42941284179688
2026-05-13,185.6793975830078
2026-05-14,186.1737518310547
2026-05-15,187.85455322265625
2026-05-18,190.0000457763672
2026-05-19,192.96617126464844
2026-05-20,194.89414978027344
2026-05-21,197.4845733642578
2026-05-22,200.8165283203125
2026-05-25,204.50439453125
2026-05-26,201.4295196533203
2026-05-27,199.30380249023438
2026-05-28,199.30380249023438
2026-05-29,201.9436492919922
2026-06-01,204.0792694091797
2026-06-02,207.47052001953125
2026-06-03,201.79534912109375
2026-06-04,202.0128631591797
2026-06-05,196.13003540039062
2026-06-08,179.7075958251953
2026-06-09,179.61862182617188
2026-06-10,176.9095458984375
2026-06-11,175.36717224121094
2026-06-12,178.10589599609375
2026-06-15,179.33189392089844
2026-06-16,180.60733032226562
2026-06-17,182.3870086669922
2026-06-18,180.77540588378906
2026-06-19,178.75843811035156
2026-06-22,178.1454315185547
2026-06-23,172.5196990966797
2026-06-24,172.50979614257812
2026-06-25,173.02394104003906
2026-06-26,173.02394104003906
2026-06-29,173.49850463867188
2026-06-30,168.4659881591797
2026-07-01,168.20892333984375
2026-07-02,172.0352325439453
2026-07-03,174.09173583984375
2026-07-06,172.35162353515625
2026-07-07,171.04652404785156
2026-07-08,170.76968383789062
2026-07-09,170.80921936035156
2026-07-10,173.47874450683594
2026-07-13,176.41519165039062
2026-07-14,175.1397705078125
2026-07-15,172.67788696289062
2026-07-16,175.73300170898438
2026-07-17,174.0126495361328
2026-07-20,174.3883514404297
2026-07-21,172.99427795410156
2026-07-22,172.4702606201172
2026-07-23,172.84597778320312
2026-07-24,175.1199951171875
2026-07-27,178.52999877929688
2026-07-28,181.1199951171875
2026-07-29,183.61000061035156
2026-07-30,186.3300018310547
2026-07-31,183.64999389648438
